candidate_id,family,feature_recipe,model_type,threshold_method,calibration_method,split_name,fold_id,evaluation_level,n_predictions,n_features,threshold,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,sensitivity,specificity,ece
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader,0,official_trial_level_fold_mean,884,12,0.5,0.8356672562893082,0.6427493146915533,0.7320867026055705,0.7176303137128339,0.16215146150313295,0.6367924528301887,0.8273809523809523,0.1784968729254876
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader,1,official_trial_level_fold_mean,906,12,0.5,0.7023664879057037,0.48194709761644866,0.62300988771577,0.5772860615204091,0.21998293268669628,0.6078431372549019,0.6381766381766382,0.23326778381218988
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader,2,official_trial_level_fold_mean,799,12,0.5,0.8896893236796863,0.6576823795421253,0.813043320338039,0.6827755857168585,0.188363835212856,0.8934426229508197,0.7326440177252584,0.25959453337999894
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader,3,official_trial_level_fold_mean,965,12,0.5,0.8063057717865957,0.46337679163974665,0.7414770030377824,0.7289329668949143,0.19107592349639904,0.6419213973799127,0.8410326086956522,0.2087855819107629
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader_and_text,0,official_trial_level_fold_mean,321,12,0.5,0.7586934156378601,0.5003971558696572,0.7003086419753086,0.6828101003607272,0.18673644769174147,0.6172839506172839,0.7833333333333333,0.16431336051168582
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader_and_text,1,official_trial_level_fold_mean,269,12,0.5,0.5921649484536082,0.5463298697336676,0.48573883161512027,0.4492720655141037,0.29649367443141167,0.5333333333333333,0.4381443298969072,0.2954931228834506
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader_and_text,2,official_trial_level_fold_mean,404,12,0.5,0.7790096450233668,0.6881777052069505,0.7119916476086308,0.7126887086712415,0.19596800417868382,0.6629213483146067,0.7610619469026548,0.0809608397185876
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_reader_and_text,3,official_trial_level_fold_mean,234,12,0.5,0.7316722972972973,0.5252691416630921,0.6385979729729729,0.6444722495307891,0.19706575164292123,0.44594594594594594,0.83125,0.09535446687563184
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_text,0,official_trial_level_fold_mean,913,12,0.5,0.8644113498714012,0.646616891893197,0.7680833264194253,0.7548258381892378,0.15051224585663425,0.6715686274509803,0.8645980253878702,0.1718777495536414
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_text,1,official_trial_level_fold_mean,861,12,0.5,0.8269218369682609,0.5532496821294635,0.7400986508051647,0.6794657435830449,0.18585362813613643,0.7486338797814208,0.7315634218289085,0.24139438180899336
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_text,2,official_trial_level_fold_mean,797,12,0.5,0.8386483362898457,0.4082187174108827,0.7430521958823846,0.5862018195062226,0.23866348349132369,0.8518518518518519,0.6342525399129173,0.31603530110456357
candidate_0000,d3_lite_anchor,d3_lite_exact,official_lite_logistic,fixed_0_5,none,unseen_text,3,official_trial_level_fold_mean,983,12,0.5,0.7974218168279971,0.5655493655090302,0.6850671175643253,0.6797090929219405,0.17347696205765592,0.5698529411764706,0.8002812939521801,0.11271583800131087
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,0,official_trial_level_fold_mean,884,128,0.24000000000000002,0.7350102482030548,0.4913029496755308,0.6691374663072776,0.6044808884837487,0.15726076130394415,0.7311320754716981,0.6071428571428571,0.04425455189905566
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,1,official_trial_level_fold_mean,906,128,0.46,0.657180464778504,0.42938865161341633,0.605455002513826,0.6218378621744065,0.16049647861982713,0.24509803921568626,0.9658119658119658,0.1002734292767649
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,2,official_trial_level_fold_mean,799,128,0.28,0.9035402087318691,0.6769630189085402,0.81082766302637,0.67938771145444,0.09392157305985084,0.8934426229508197,0.7282127031019202,0.10809236961947132
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,3,official_trial_level_fold_mean,965,128,0.24000000000000002,0.6182421207518511,0.3094867385582134,0.6443806958420353,0.6098983598983598,0.18468625028648403,0.6026200873362445,0.686141304347826,0.0694994802224594
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,0,official_trial_level_fold_mean,321,128,0.36000000000000004,0.5626028806584362,0.2595742565131196,0.4493055555555555,0.44107529621607844,0.19639732752739844,0.1111111111111111,0.7875,0.1123098972719972
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,1,official_trial_level_fold_mean,269,128,0.26,0.6800687285223367,0.628457599010144,0.5586254295532647,0.5052348613469158,0.17420427164847724,0.6533333333333333,0.4639175257731959,0.1537948423533301
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,2,official_trial_level_fold_mean,404,128,0.38,0.8176394551058963,0.8148671021559196,0.7482350601571045,0.7516393442622951,0.18207917380915528,0.6292134831460674,0.8672566371681416,0.10623964084948224
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,3,official_trial_level_fold_mean,234,128,0.38,0.5075168918918919,0.319538928301917,0.48851351351351346,0.4196428571428571,0.23163307233832967,0.02702702702702703,0.95,0.11005926849490322
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,0,official_trial_level_fold_mean,913,128,0.29000000000000004,0.8840330208246909,0.8072781262955063,0.8121318343980752,0.778872101617422,0.11133934575335065,0.7794117647058824,0.844851904090268,0.13230488834219906
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,1,official_trial_level_fold_mean,861,128,0.3,0.8366619920370102,0.6586338172284979,0.781009720005803,0.7508558138011237,0.12417572686481199,0.7213114754098361,0.8407079646017699,0.1019498747426774
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,2,official_trial_level_fold_mean,797,128,0.38,0.8378285760361233,0.441182924239915,0.7418494328871688,0.614127349828041,0.1321539394540878,0.7870370370370371,0.6966618287373004,0.17752612602401419
candidate_0014_3a7538097b,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,3,official_trial_level_fold_mean,983,128,0.26,0.8642084470919169,0.6793913214086912,0.7709341648051625,0.7608281458800453,0.1588306635617728,0.7022058823529411,0.8396624472573839,0.14250499078342957
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,0,official_trial_level_fold_mean,884,128,0.25,0.7383163465858041,0.4891865335490149,0.6709905660377358,0.6113365800865801,0.15702667505235493,0.7169811320754716,0.625,0.05004626770104019
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,1,official_trial_level_fold_mean,906,128,0.45,0.6594079939668174,0.4378289494147589,0.6085344394167924,0.6253247272519564,0.1597524850261096,0.25980392156862747,0.9572649572649573,0.1030149099460748
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,2,official_trial_level_fold_mean,799,128,0.28,0.9070392522459259,0.681159876510965,0.8071349008402547,0.6737852696256772,0.09451204978128458,0.8934426229508197,0.7208271787296898,0.10806793527637029
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,3,official_trial_level_fold_mean,965,128,0.23,0.6188295044617429,0.31100343445836354,0.6316659151319537,0.5868767051721135,0.1834160788727751,0.62882096069869,0.6345108695652174,0.07756377717988085
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,0,official_trial_level_fold_mean,321,128,0.35000000000000003,0.5689814814814815,0.26268936177071245,0.44297839506172837,0.4380129116971222,0.1961173462336404,0.12345679012345678,0.7625,0.10599318843456927
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,1,official_trial_level_fold_mean,269,128,0.3,0.6852233676975945,0.6340591380422234,0.6148797250859106,0.5813136478854449,0.17326706010134496,0.6266666666666667,0.6030927835051546,0.15307718415461555
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,2,official_trial_level_fold_mean,404,128,0.39,0.8170428557223824,0.814938686604378,0.7448294720095456,0.7482251505008127,0.18147776926633805,0.6179775280898876,0.8716814159292036,0.10356640216175003
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,3,official_trial_level_fold_mean,234,128,0.36000000000000004,0.5208614864864864,0.32934904566779266,0.5020270270270271,0.44441738706928036,0.2298296496196278,0.05405405405405406,0.95,0.10357753665648602
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,0,official_trial_level_fold_mean,913,128,0.29000000000000004,0.8836665836997706,0.8049563886071519,0.8058194363782185,0.773165575207549,0.11153294609820981,0.7696078431372549,0.842031029619182,0.1309078463472877
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,1,official_trial_level_fold_mean,861,128,0.31,0.8277237777455388,0.6531123915546058,0.7744209101020358,0.7569717945657795,0.12453946493042292,0.6830601092896175,0.8657817109144543,0.0972667976629562
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,2,official_trial_level_fold_mean,797,128,0.41000000000000003,0.8394546578508841,0.44477763166379636,0.7592659786056013,0.6393414090782512,0.13290136283137483,0.7870370370370371,0.7314949201741655,0.17898067588220315
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,3,official_trial_level_fold_mean,983,128,0.26,0.8654546206668321,0.6825837163635489,0.7720691652188302,0.7613106155978349,0.16023937258939275,0.7058823529411765,0.8382559774964838,0.14482348098566372
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,0,official_trial_level_fold_mean,884,128,0.23,0.7286296889038635,0.49177764757059766,0.6623287286612758,0.5880376151214866,0.15784361785862588,0.7547169811320755,0.5699404761904762,0.039644213950187863
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,1,official_trial_level_fold_mean,906,128,0.43,0.6494504496955478,0.41138663341077525,0.5965099715099715,0.6092689630515178,0.1626992132524733,0.25,0.9430199430199431,0.0973009721439874
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,2,official_trial_level_fold_mean,799,128,0.29000000000000004,0.894556505315156,0.6664335869314959,0.8051795529941642,0.683110977293728,0.09451184734980105,0.8688524590163934,0.741506646971935,0.10514519854856184
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,3,official_trial_level_fold_mean,965,128,0.24000000000000002,0.5985143345357888,0.30257342740268933,0.6285628678564648,0.5970387289576689,0.18623987369063283,0.5764192139737991,0.6807065217391305,0.08044334197917048
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,0,official_trial_level_fold_mean,321,128,0.34,0.5504629629629629,0.2547134406954421,0.4408179012345679,0.43794859457075264,0.19902026529522124,0.13580246913580246,0.7458333333333333,0.12510619031544856
