evidence_id,result_origin,result_scope,clean_or_oracle,official_claim_allowed,benchmark_relative_claim_allowed,notes
AutoResearch_v1_offline_full_profile_0000_00000,clean_evaluation,primary_completed_result,clean,False,True,Main offline reader-profile result.
AutoResearch_v1_offline_full_profile_0000_00001,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0001_00002,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0002_00003,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0003_00004,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
Phase4_bootstrap_auc_ci_00005,clean_evaluation,primary_completed_result,clean,False,True,Bootstrap ROC-AUC CI; fallback values preserved from phase summary if columns differ.
Phase4_permutation_p_value_00006,clean_evaluation,primary_completed_result,clean,False,True,Permutation p-value for final offline D3.
BenchmarkBridge_v1_unseen_reader_00007,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_text_00008,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_reader_and_text_00009,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
OfficialAlignment_v1_0_unseen_reader_00016,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
OfficialAlignment_v1_0_unseen_text_00017,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
OfficialAlignment_v1_0_unseen_reader_and_text_00018,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
OfficialAlignment_v1_1_unseen_reader_00019,clean_evaluation,secondary_completed_result,clean,False,True,EyeBench-fold-aligned_full-feature_non-official
OfficialAlignment_v1_1_unseen_text_00020,clean_evaluation,secondary_completed_result,clean,False,True,EyeBench-fold-aligned_full-feature_non-official
OfficialAlignment_v1_1_unseen_reader_and_text_00021,clean_evaluation,secondary_completed_result,clean,False,True,EyeBench-fold-aligned_full-feature_non-official
OfficialAlignment_v1_2_unseen_reader_00022,clean_evaluation,secondary_completed_result,clean,False,True,internal_EyeBench-style_benchmark-relative
OfficialAlignment_v1_2_unseen_text_00023,clean_evaluation,secondary_completed_result,clean,False,True,internal_EyeBench-style_benchmark-relative
OfficialAlignment_v1_2_unseen_reader_and_text_00024,clean_evaluation,secondary_completed_result,clean,False,True,internal_EyeBench-style_benchmark-relative
OfficialAlignment_v1_3_unseen_reader_00025,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_3_unseen_text_00026,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_3_unseen_reader_and_text_00027,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_4_unseen_reader_00028,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_4_unseen_text_00029,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_4_unseen_reader_and_text_00030,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_5_unseen_reader_00031,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_5_unseen_text_00032,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_5_unseen_reader_and_text_00033,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_6_unseen_reader_00034,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_6_unseen_text_00035,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_6_unseen_reader_and_text_00036,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_7_unseen_reader_00037,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_7_unseen_text_00038,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_7_unseen_reader_and_text_00039,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_8_unseen_reader_00040,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_8_unseen_text_00041,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_8_unseen_reader_and_text_00042,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_9_unseen_reader_00043,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_9_unseen_text_00044,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_9_unseen_reader_and_text_00045,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_10_unseen_reader_00046,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_10_unseen_text_00047,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_10_unseen_reader_and_text_00048,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_11_unseen_reader_00049,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_11_unseen_text_00050,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_11_unseen_reader_and_text_00051,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_12_unseen_reader_00052,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_12_unseen_text_00053,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_12_unseen_reader_and_text_00054,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_13_unseen_reader_00055,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_13_unseen_text_00056,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_13_unseen_reader_and_text_00057,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_14_unseen_reader_00058,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_14_unseen_text_00059,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_14_unseen_reader_and_text_00060,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_15_unseen_reader_00061,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_15_unseen_text_00062,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_15_unseen_reader_and_text_00063,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_16_unseen_reader_00064,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_16_unseen_text_00065,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_16_unseen_reader_and_text_00066,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_17_unseen_reader_00067,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_17_unseen_text_00068,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialAlignment_v1_17_unseen_reader_and_text_00069,clean_evaluation,secondary_completed_result,clean,False,False,official_reported_reference
OfficialEyeBenchSOTACheck_v1_blocked_00070,blocked_or_skipped,blocked_result,blocked,False,False,Official SOTA check did not provide a clean official D3 SOTA claim.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0000_00071,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0001_00072,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0002_00073,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0006_00074,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0007_00075,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0008_00076,clean_evaluation,secondary_completed_result,clean,False,True,D3_Lite official-compatible stress test; no locked-test improvement over anchor.
OperatingPointAdaptation_v1_operating_point_diagnostic_0001_00077,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0002_00078,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0003_00079,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0004_00080,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0005_00081,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0006_00082,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0007_00083,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0008_00084,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0009_00085,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0010_00086,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0011_00087,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_operating_point_diagnostic_0012_00088,clean_evaluation,secondary_completed_result,clean,False,True,Fixed 0.5 probability operating-point audit.
OperatingPointAdaptation_v1_oracle_diagnostic_0000_00089,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0001_00090,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0002_00091,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0003_00092,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0004_00093,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0005_00094,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0006_00095,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0007_00096,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0008_00097,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0009_00098,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0010_00099,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0011_00100,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0012_00101,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0013_00102,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0014_00103,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0015_00104,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0016_00105,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0017_00106,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0018_00107,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0019_00108,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0020_00109,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0021_00110,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0022_00111,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0023_00112,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0024_00113,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0025_00114,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0026_00115,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0027_00116,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0028_00117,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0029_00118,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0030_00119,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0031_00120,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0032_00121,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0033_00122,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0034_00123,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0035_00124,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0036_00125,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0037_00126,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0038_00127,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0039_00128,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0040_00129,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0041_00130,oracle_diagnostic,diagnostic_completed_result,oracle,False,False,Test-label oracle diagnostic threshold; not clean benchmark evidence.
D3OnlineTargetedOptimization_v1_online_accumulator_0000_00131,clean_evaluation,deprecated_or_fast_run,clean,False,True,Best v1 clean candidate; selected no_stop and is offline-like.
D3OnlineTargetedOptimization_v1_online_accumulator_0001_00132,clean_evaluation,deprecated_or_fast_run,clean,False,True,Best v1 clean candidate; selected no_stop and is offline-like.
D3OnlineTargetedOptimization_v1_online_accumulator_0002_00133,clean_evaluation,deprecated_or_fast_run,clean,False,True,Best v1 clean candidate; selected no_stop and is offline-like.
D3OnlineTargetedOptimization_v1_online_accumulator_0003_00134,clean_evaluation,deprecated_or_fast_run,clean,False,True,Best v1 clean candidate; selected no_stop and is offline-like.
D3OnlineTargetedOptimization_v1_online_accumulator_0004_00135,clean_evaluation,deprecated_or_fast_run,clean,False,True,Best v1 clean candidate; selected no_stop and is offline-like.
D3OnlineTargetedOptimization_v2_0000_00136,clean_evaluation,primary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0001_00137,clean_evaluation,primary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0002_00138,clean_evaluation,primary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0003_00139,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0004_00140,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0005_00141,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0006_00142,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0007_00143,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0008_00144,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0009_00145,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0010_00146,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0011_00147,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0012_00148,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0013_00149,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0014_00150,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0015_00151,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0016_00152,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0017_00153,clean_evaluation,secondary_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0018_00154,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0019_00155,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0020_00156,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0021_00157,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0022_00158,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3OnlineTargetedOptimization_v2_0023_00159,clean_evaluation,diagnostic_completed_result,clean,False,True,Strict v2 final separated model row.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00000,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00001,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00002,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00003,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00004,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00005,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00006,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00007,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00008,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_00009,clean_evaluation,secondary_completed_result,clean,False,True,Reader-aggregated D3_Lite secondary metric rows.
