candidate_id,candidate_group,feature_family,source_feature_group,calibrator,threshold_policy,accumulator,stopping_policy,prefix_type,prefix_value,clean_result,official_claim_allowed,selection_source
v2_candidate_0000,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,learned_meta_aggregator,no_stop,trial_or_text_prefix,all,True,False,inner_oof
v2_candidate_0001,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,sigmoid,inner_cv_global,entropy_weighted,no_stop,trial_or_text_prefix,all,True,False,inner_oof
v2_candidate_0002,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,logit_mean,no_stop,trial_or_text_prefix,all,True,False,inner_oof
v2_candidate_0003,offline_all_full_evidence,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,learned_meta_aggregator,no_stop,trial_or_text_prefix,all,True,False,inner_oof
v2_candidate_0004,online_late_accumulation,residual_gaze_prefix,residual_gaze_prefix,identity,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0005,online_late_accumulation,dfm_sensitivity_prefix,dfm_sensitivity_prefix,sigmoid,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,500,True,False,inner_oof
v2_candidate_0006,online_late_accumulation,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,isotonic,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,1000,True,False,inner_oof
v2_candidate_0007,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,2,True,False,inner_oof
v2_candidate_0008,online_late_accumulation,all_allowed_strict_online,all_allowed_online,sigmoid,fixed_0_5,mean_probability,fixed_budget,trial_or_text_prefix,3,True,False,inner_oof
v2_candidate_0009,online_late_accumulation,residual_gaze_prefix,residual_gaze_prefix,isotonic,inner_cv_global,logit_mean,fixed_budget,trial_or_text_prefix,5,True,False,inner_oof
v2_candidate_0010,online_late_accumulation,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0011,online_late_accumulation,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,sigmoid,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,True,False,inner_oof
v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,True,False,inner_oof
v2_candidate_0013,online_late_accumulation,all_allowed_strict_online,all_allowed_online,identity,inner_cv_global,logit_mean,fixed_budget,trial_or_text_prefix,2,True,False,inner_oof
v2_candidate_0014,online_late_accumulation,residual_gaze_prefix,residual_gaze_prefix,sigmoid,inner_cv_prefix_specific,entropy_weighted,fixed_budget,trial_or_text_prefix,3,True,False,inner_oof
v2_candidate_0015,online_late_accumulation,dfm_sensitivity_prefix,dfm_sensitivity_prefix,isotonic,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,5,True,False,inner_oof
v2_candidate_0016,online_mid_detection,residual_gaze_prefix,residual_gaze_prefix,identity,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,50,True,False,inner_oof
v2_candidate_0017,online_mid_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,sigmoid,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,100,True,False,inner_oof
v2_candidate_0018,online_mid_detection,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,isotonic,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,True,False,inner_oof
v2_candidate_0020,online_mid_detection,all_allowed_strict_online,all_allowed_online,sigmoid,fixed_0_5,mean_probability,fixed_budget,trial_or_text_prefix,1,True,False,inner_oof
v2_candidate_0021,online_mid_detection,residual_gaze_prefix,residual_gaze_prefix,isotonic,inner_cv_global,logit_mean,fixed_budget,trial_or_text_prefix,2,True,False,inner_oof
v2_candidate_0022,online_mid_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_prefix_specific,entropy_weighted,fixed_budget,trial_or_text_prefix,3,True,False,inner_oof
v2_candidate_0023,online_mid_detection,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,sigmoid,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,50,True,False,inner_oof
v2_candidate_0024,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,100,True,False,inner_oof
v2_candidate_0025,online_mid_detection,all_allowed_strict_online,all_allowed_online,identity,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0026,online_mid_detection,residual_gaze_prefix,residual_gaze_prefix,sigmoid,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,500,True,False,inner_oof
v2_candidate_0027,online_mid_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,isotonic,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,True,False,inner_oof
v2_candidate_0028,online_early_detection,residual_gaze_prefix,residual_gaze_prefix,identity,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,50,True,False,inner_oof
v2_candidate_0029,online_early_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,sigmoid,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,100,True,False,inner_oof
v2_candidate_0030,online_early_detection,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,isotonic,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,True,False,inner_oof
v2_candidate_0032,online_early_detection,all_allowed_strict_online,all_allowed_online,sigmoid,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,50,True,False,inner_oof
v2_candidate_0033,online_early_detection,residual_gaze_prefix,residual_gaze_prefix,isotonic,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,100,True,False,inner_oof
v2_candidate_0034,online_early_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0035,online_early_detection,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,sigmoid,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,True,False,inner_oof
v2_candidate_0036,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,50,True,False,inner_oof
v2_candidate_0037,online_early_detection,all_allowed_strict_online,all_allowed_online,identity,inner_cv_global,logit_mean,fixed_budget,word_count_prefix,100,True,False,inner_oof
v2_candidate_0038,online_early_detection,residual_gaze_prefix,residual_gaze_prefix,sigmoid,inner_cv_prefix_specific,entropy_weighted,fixed_budget,word_count_prefix,250,True,False,inner_oof
v2_candidate_0039,online_early_detection,dfm_sensitivity_prefix,dfm_sensitivity_prefix,isotonic,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,True,False,inner_oof
v2_candidate_0040,online_stopping_detector,residual_gaze_prefix,residual_gaze_prefix,identity,inner_cv_global,mean_probability,confidence_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0041,online_stopping_detector,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_global,logit_mean,cost_sensitive_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0042,online_stopping_detector,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,identity,inner_cv_global,entropy_weighted,target_sensitivity_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0044,online_stopping_detector,all_allowed_strict_online,all_allowed_online,identity,inner_cv_global,mean_probability,confidence_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0045,online_stopping_detector,residual_gaze_prefix,residual_gaze_prefix,identity,inner_cv_global,logit_mean,cost_sensitive_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0046,online_stopping_detector,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_global,entropy_weighted,target_sensitivity_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0047,online_stopping_detector,dfm_residual_gaze_prefix,dfm_residual_gaze_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0048,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,mean_probability,confidence_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0049,online_stopping_detector,all_allowed_strict_online,all_allowed_online,identity,inner_cv_global,logit_mean,cost_sensitive_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0050,online_stopping_detector,residual_gaze_prefix,residual_gaze_prefix,identity,inner_cv_global,entropy_weighted,target_sensitivity_stop,sequence,sequence_stop,True,False,inner_oof
v2_candidate_0051,online_stopping_detector,dfm_sensitivity_prefix,dfm_sensitivity_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,True,False,inner_oof
